id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5ae4WJ0jjklQ4AadYxE2a6,Girl - 2019 - Remaster,Suicide,30,1977-12-28,0.546,0.646,10,-11.481,1,0.00011,0.602,0.098,0.758,138.108,245867,4
2vQRkj2kMwoHKLzxXNsj2h,Frankie Teardrop - 2019 - Remaster,Suicide,31,1977-12-28,0.308,0.829,1,-14.345,1,0.0113,0.767,0.116,0.0418,168.768,626307,4
5aigHrfThtXdjyfqvsT62z,Che - 2019 - Remaster,Suicide,29,1977-12-28,0.0773,0.108,7,-13.795,1,0.00143,0.755,0.105,0.0755,171.366,289640,4
525Pwm0RCTedCyZ0Mc1r5o,Fireworks - Remastered,Dntel,9,2011-10-25,0.703,0.406,0,-12.005,1,0.0353,0.879,0.119,0.235,129.011,407933,4
72Z3omkingFSu6Qvo7EkLh,Daniel,Bat For Lashes,29,2009-02-27,0.595,0.666,8,-8.422,0,0.0115,0.0144,0.177,0.438,135.015,249707,4
0eWfkZg1S9oFRCTnWBOjOa,Ink Cloud,Two Lone Swordsmen,24,1998-10-19,0.771,0.53,5,-13.18,0,0.176,0.617,0.14,0.444,161.996,234840,4
5udfsgkwBgM3AsvHBap7px,The Big Clapper,Two Lone Swordsmen,22,1998-10-19,0.339,0.885,7,-6.854,1,0.0727,0.232,0.152,0.248,79.57,196427,4
2jhJiVcpkAMoCRr8Ru0xSJ,Ivy and Lead,Two Lone Swordsmen,24,1998-10-19,0.738,0.759,10,-10.58,0,0.0103,0.269,0.113,0.667,112.06,168400,4
3G1jkNZc5tl3orGMM7aDtG,Spine Bubbles,Two Lone Swordsmen,16,1998-10-19,0.632,0.481,1,-16.158,1,0.775,0.926,0.196,0.277,101.229,280093,3
0vwyIBkxHsYj0JVDHydJdi,"No Return (Main Title Theme) [Single from ""Yellowjackets Showtime Original Series Soundtrack""]",Anna Waronker,42,2022-01-07,0.423,0.897,11,-7.22,1,0.00191,0.000163,0.2,0.368,143.128,93187,3
54wKcxehz0bgcM1BT7KfyH,It Hits,Two Lone Swordsmen,4,1999-10-15,0.694,0.511,11,-11.461,1,0.0153,0.914,0.127,0.416,146.049,244467,4
7jX7wWnBtRY2PJHVXfLOwU,Confessions Of A Justified Sinner,Two Lone Swordsmen,4,1999-10-15,0.629,0.641,2,-13.34,1,0.178,0.819,0.406,0.302,170.126,180800,4
1Vm698NBbZZ54TgYhPfUxq,Boyzone,Liars,11,2014-03-25,0.595,0.694,8,-8.341,1,0.0129,0.754,0.113,0.218,99.988,281835,4
7aX4vUhde9XiBBALHraSbb,Your Fake Name Is Good Enough for Me,Iron & Wine,23,2011,0.361,0.595,1,-6.455,0,0.0475,0.00462,0.105,0.672,140.761,420667,4
1Jg3OlGD1J0C9OWQe6hgWe,Phantom Anthills,Chad VanGaalen,16,2008-09-09,0.709,0.752,1,-7.74,1,0.284,0.723,0.172,0.729,98.404,180787,4
5zNi7ddGWfo4S1jaA1BDnC,Red Hot Drops,Chad VanGaalen,11,2006-08-22,0.688,0.349,1,-12.287,1,0.097,0.167,0.0712,0.781,102.568,195400,4
3YHhWdTlWjIML155CvcH4F,Say the Name,clipping.,46,2020-10-23,0.455,0.426,2,-9.406,1,0.172,0.0843,0.168,0.04,84.643,299605,4
0jv5VgdENAPV7lHtBlsaXE,Blood of the Fang,clipping.,38,2019-10-18,0.76,0.942,1,-6.452,1,0.078,1.55e-05,0.216,0.444,141.985,279863,4
3NRaObu1NHTjMsfTPt6Ken,Card Lovers,Apnoie,7,2022-01-21,0.465,0.974,0,-6.542,0,0.00111,0.634,0.74,0.368,125.007,254280,4
5lQ5Tnlf8A9uFvTjz8uALp,crasher,Astrobrite,34,2001-06-20,0.129,0.446,9,-6.403,0,0.00165,0.756,0.653,0.183,99.392,247867,4
3oEbFV32BCjdfO4CV7zLEB,Octagon,Liars,11,2012,0.543,0.647,0,-11.36,1,0.331,0.873,0.11,0.504,142.012,278427,4
4W2SEytUaL0gfiHk1FeMoc,Brats,Liars,21,2012,0.588,0.728,8,-7.974,1,0.0131,0.872,0.187,0.449,129.976,182427,4
4i9xZQuMIVTRi8CYe0DIWd,Leather Prowler,Liars,7,2007,0.389,0.867,8,-8.483,0,0.53,0.745,0.187,0.115,143.568,265120,4
4s69PiQhfmjtNyDyhFdJy5,Let's Not Wrestle Mt. Heart Attack,Liars,13,2006,0.158,0.56,2,-6.882,1,0.0147,0.0212,0.532,0.0567,108.287,271813,3
1JOrIshStFM6JcC0scqDWP,Broken Witch,Liars,11,2004,0.452,0.856,6,-6.258,0,0.183,0.004,0.117,0.432,143.399,369747,4
6anHLkfvpMhQvcLz3QjRYc,We Fenced Other Gardens With The Bones Of Our Own,Liars,8,2004,0.518,0.471,1,-9.43,1,0.00424,0.178,0.193,0.0392,148.336,327067,4
3qFGxxuYvCMxSQEfGbPdK8,If You're A Wizard Then Why Do You Wear Glasses?,Liars,6,2004,0.345,0.753,6,-8.539,1,0.559,0.764,0.389,0.321,145.043,131173,4
1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,79,2010-03-03,0.676,0.703,8,-5.815,0,0.0869,0.000687,0.0463,0.852,92.761,200173,4
1SHB1hp6267UK9bJQUxYvO,Судно (Борис Рижий),Molchat Doma,76,2018-09-07,0.484,0.75,1,-4.176,1,0.697,0.862,0.105,0.467,159.992,141395,4
6bxKECVRnkLmtpeU22Ve9p,help_urself,Ezekiel,72,2021-08-11,0.413,0.624,11,-10.353,1,0.00859,0.0178,0.132,0.0814,82.516,139652,4
17Gyli3xn2LFTtH7aJF2hI,Teach Her How To Hunt,Crystal Castles,34,2016-08-19,0.0976,0.833,7,-9.953,1,0.275,0.691,0.232,0.165,80.506,115893,3
6jTpdkPWw4QT7VOgUYqrsK,Chloroform,Crystal Castles,46,2016-08-19,0.444,0.542,8,-8.191,0,0.019,0.623,0.0985,0.097,132.842,188960,4
2mHngbc9wHeVuJr59VCV2h,Char,Crystal Castles,58,2016-08-19,0.646,0.843,8,-6.644,0,0.018,0.0733,0.32,0.351,100.004,188333,4
